series,run,radius,exec_ms,plan
rpc=4,5,5642.0,64.85,Parallel Bitmap Heap Scan
rpc=4,5,7979.0,85.061,Parallel Bitmap Heap Scan
rpc=4,5,12616.0,106.052,Parallel Bitmap Heap Scan
rpc=4,5,17841.0,137.561,Parallel Bitmap Heap Scan
rpc=4,5,25231.0,227.023,Parallel Bitmap Heap Scan
rpc=4,5,28209.0,247.9,Parallel Bitmap Heap Scan
rpc=30,5,1262.0,12.035,Parallel Bitmap Heap Scan
rpc=30,5,1784.0,13.136,Parallel Bitmap Heap Scan
rpc=30,5,2523.0,18.988,Parallel Bitmap Heap Scan
rpc=30,5,3989.0,36.93,Parallel Bitmap Heap Scan
rpc=30,5,5642.0,64.711,Parallel Bitmap Heap Scan
rpc=30,5,7979.0,82.699,Parallel Bitmap Heap Scan
rpc=30,5,12616.0,103.97,Parallel Bitmap Heap Scan
rpc=30,5,17841.0,137.008,Parallel Bitmap Heap Scan
rpc=30,5,25231.0,204.787,Parallel Bitmap Heap Scan
rpc=30,5,28209.0,253.95,Parallel Bitmap Heap Scan
